message,label
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
I'm gonna rip out my uterus.,ham
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,ham
In meeting da. I will call you,ham
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,ham
"Theoretically yeah, he could be able to come",ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,spam
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham
Nice.nice.how is it working?,ham
"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",ham
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
Can you talk with me..,ham
"Yes but i dont care! I need you bad, princess!",ham
"Some friends want me to drive em someplace, probably take a while",ham
Where are you call me.,ham
Okie,ham
Then wat r u doing now? Busy wif work?,ham
"Only just got this message, not ignoring you. Yes, i was. Shopping that is",ham
I love to cuddle! I want to hold you in my strong arms right now...,ham
No i am not having not any movies in my laptop,ham
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,ham
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",ham
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",ham
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,spam
You have 1 new voicemail. Please call 08719181513.,spam
K.i will send in  &lt;#&gt;  min:),ham
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,ham
"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",ham
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
She's fine. Sends her greetings,ham
Merry christmas to u too annie!,ham
"Just dropped em off, omw back now",ham
Wot about on wed nite I am 3 then but only til 9!,ham
i thought we were doing a king of the hill thing there.,ham
I cant pick the phone right now. Pls send a message,ham
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham
Jus finish watching tv... U?,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,ham
Understand. his loss is my gain :) so do you work? School?,ham
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spam
Get ready for  &lt;#&gt;  inches of pleasure...,ham
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
Ok...,ham
How are you holding up?,ham
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
I re-met alex nichols from middle school and it turns out he's dealing!,ham
Call him and say you not coming today ok and tell them not to fool me like this ok,ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,spam
That day you asked about anand number. Why:-),ham
Hmmm:)how many players selected?,ham
Lol ... I knew that .... I saw him in the dollar store,ham
Goodnight da thangam I really miss u dear.,ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
No break time one... How... I come out n get my stuff fr ü?,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
So u gonna get deus ex?,ham
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",ham
Man this bus is so so so slow. I think you're gonna get there before me,ham
Everybody had fun this evening. Miss you.,ham
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam
But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,ham
Yup n her fren lor. I'm meeting my fren at 730.,ham
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",ham
K...k...when will you give treat?,ham
Wow v v impressed. Have funs shopping!,ham
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham
Ok...,ham
I will treasure every moment we spend together...,ham
Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,ham
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham
Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,ham
Kent vale lor... Ü wait 4 me there ar?,ham
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam
Send me your id and password,ham
DO U WANT 2 MEET UP 2MORRO,ham
"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",ham
I know a few people I can hit up and fuck to the yes,ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,ham
Hi its in durban are you still on this number,ham
How come u got nothing to do?,ham
100 dating service cal;l 09064012103 box334sk38ch,spam
Thanks honey. Have a great day.,ham
Sir send to group mail check it.,ham
I will come to ur home now,ham
"Tick, tick, tick ... Babe",ham
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
So how many days since then?,ham
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
Yes just finished watching days of our lives. I love it.,ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!,ham
ALRITE,ham
"Until 545 lor... Ya, can go 4 dinner together...",ham
Its normally hot mail. Com you see!,ham
Please CALL 08712402902 immediately as there is an urgent message waiting for you.,spam
This single single answers are we fighting? Plus i said am broke and you didnt reply,ham
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,ham
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",ham
Heehee that was so funny tho,ham
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,spam
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam
"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",spam
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,ham
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,spam
Nothing. Can...,ham
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",spam
I was just callin to say hi. Take care bruv!,ham
"Sorry, I'll call later  &lt;#&gt; mins",ham
But i dint slept in afternoon.,ham
We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam
Yup...,ham
Love it! I want to flood that pretty pussy with cum...,ham
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,ham
Call me when u finish then i come n pick u.,ham
With my sis lor... We juz watched italian job.,ham
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,ham
Hurry home. Soup is DONE!,ham
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,ham
Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ham
HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,ham
Lol no. Just trying to make your day a little more interesting,ham
NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT,ham
Oh thanks a lot..i already bought 2 eggs ..,ham
"Sorry,in meeting I'll call later",ham
Dad says hurry the hell up,ham
Sorry * was at the grocers.,ham
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,ham
Good. do you think you could send me some pix? I would love to see your top and bottom...,ham
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",spam
"No worries, hope photo shoot went well. have a spiffing fun at workage. ",ham
But i'm surprised she still can guess right lor...,ham
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",spam
No da..today also i forgot..,ham
R we going with the  &lt;#&gt;  bus?,ham
A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,ham
I am late. I will be there at,ham
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",spam
I've reached sch already...,ham
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam
"If i let you do this, i want you in the house by 8am.",ham
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,ham
Watching ajith film ah?,ham
Hey tmr meet at bugis 930 ?,ham
"Hmph. Go head, big baller.",ham
Where to get those?,ham
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",spam
K... Must book a not huh? so going for yoga basic on sunday?,ham
"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",ham
"Jay told me already, will do",ham
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam
Wait.i will come out.. &lt;#&gt;  min:),ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,spam
Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,ham
Long beach lor. Expected... U having dinner now?,ham
Yup,ham
Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,ham
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",ham
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),ham
Is ur lecture over?,ham
What you need. You have a person to give na.,ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham
Erutupalam thandiyachu,ham
Hi.what you think about match?,ham
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",spam
Mum not going robinson already.,ham
Call me when you get the chance plz &lt;3,ham
sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,spam
What Today-sunday..sunday is holiday..so no work..,ham
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),ham
"Yeah, probably here for a while",ham
I'm in town now so i'll jus take mrt down later.,ham
S da..al r above  &lt;#&gt;,ham
That's y i said it's bad dat all e gals know u... Wat u doing now?,ham
"Machan you go to gym tomorrow,  i wil come late goodnight.",ham
K actually can you guys meet me at the sunoco on howard? It should be right on the way,ham
"see you then, we're all christmassy here!",ham
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",ham
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
I'll reach in ard 20 mins ok...,ham
No rushing. I'm not working. I'm in school so if we rush we go hungry.,ham
Hi mom we might be back later than  &lt;#&gt; ,ham
"Not much, just some textin'. How bout you?",ham
I dont have i shall buy one dear,ham
We are okay. Going to sleep now. Later,ham
URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,spam
Still i have not checked it da. . .,ham
You said not now. No problem. When you can. Let me know.,ham
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham
Tell me again what your address is,ham
Every day i use to sleep after  &lt;#&gt;  so only.,ham
That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,ham
"I didnt get ur full msg..sometext is missing, send it again",ham
You dont know you jabo me abi.,ham
Oh wow thats gay. Will firmware update help,ham
"Sorry, I'll call later",ham
Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,ham
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,ham
TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,spam
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam
I'm also came to room.,ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,ham
Neshanth..tel me who r u?,ham
thanks for the temales it was wonderful. Thank. Have a great week.,ham
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
Wat r u doing?,ham
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",ham
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,spam
"Thank you. And by the way, I just lost.",ham
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
Same to u...,ham
Haha... can... But i'm having dinner with my cousin...,ham
Thank You meet you monday,ham
Nationwide auto centre (or something like that) on Newport road. I liked them there,ham
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,ham
Lol wtf random. Btw is that your lunch break,ham
Fine. Do you remember me.,ham
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
Well done and ! luv ya all ,ham
Its  &lt;#&gt; k here oh. Should i send home for sale.,ham
Xy trying smth now. U eat already? We havent...,ham
"I av a new number,  . Wil u only use this one,ta.",ham
"What do u reckon as need 2 arrange transport if u can't do it, thanks",ham
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",spam
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",ham
Loosu go to hospital. De dont let it careless.,ham
No message..no responce..what happend?,ham
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,ham
Ok... Take ur time n enjoy ur dinner...,ham
When you guys planning on coming over?,ham
Change windows logoff sound..,ham
Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,ham
What you doing?how are you?,ham
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 ,spam
No probably  &lt;#&gt; %.,ham
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",spam
Congrats kano..whr s the treat maga?,ham
You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,ham
In da car park ,ham
Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,ham
FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,spam
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,ham
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",spam
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
"That's cool he'll be here all night, lemme know when you're around",ham
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,spam
"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",spam
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",ham
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,spam
Orh i tot u say she now still dun believe.,ham
Ya very nice. . .be ready on thursday,ham
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",ham
i want to grasp your pretty booty :),ham
No problem baby. Is this is a good time to talk? I called and left a message.,ham
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam
"It'll be tough, but I'll do what I have to",ham
Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,ham
Where r e meeting tmr?,ham
Pls she needs to dat slowly or she will vomit more.,ham
Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,spam
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,spam
Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,spam
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam
on a Tuesday night r u 4 real,ham
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,spam
Call FREEPHONE 0800 542 0578 now!,spam
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,spam
Tiwary to rcb.battle between bang and kochi.,ham
Poor girl can't go one day lmao,ham
Yup ok...,ham
"Not for possession, especially not first offense",ham
I know you are serving. I mean what are you doing now.,ham
C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,ham
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,ham
Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),ham
Thanx a lot 4 ur help!,ham
I know girls always safe and selfish know i got it pa. Thank you. good night.,ham
Ok then no need to tell me anything i am going to sleep good night,ham
"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",ham
Re your call; You didn't see my facebook huh?,ham
Somebody should go to andros and steal ice,ham
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",ham
Yeah it's jus rite...,ham
I not free today i haf 2 pick my parents up tonite...,ham
Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
This phone has the weirdest auto correct.,ham
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",spam
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,ham
Okey dokey swashbuckling stuff what oh.,ham
Y bishan lei... I tot ü say lavender? ,ham
*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,ham
"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",ham
Yes. Last  practice,ham
Hey r ü still online? I've finished the formatting...,ham
"Sorry sir, i will call you tomorrow.  senthil.hsbc",ham
You have 1 new message. Call 0207-083-6089,spam
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,ham
Hi! This is Roger from CL. How are you?,ham
A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,spam
U buy newspapers already?,ham
